"id","category_name","description","create_time","update_time"
1,示波器类,数字/模拟示波器，用于信号测量,"2026-05-04 23:09:09","2026-05-04 23:09:09"
2,万用表类,数字万用表，电压电流电阻测量,"2026-05-04 23:09:09","2026-05-04 23:09:09"
3,信号源类,函数信号发生器、任意波形发生器,"2026-05-04 23:09:09","2026-05-04 23:09:09"
4,电源类,直流稳压电源、可编程电源,"2026-05-04 23:09:09","2026-05-04 23:09:09"
5,计算机类,台式机、笔记本、工作站,"2026-05-04 23:09:09","2026-05-04 23:09:09"
6,网络设备类,路由器、交换机、服务器,"2026-05-04 23:09:09","2026-05-04 23:09:09"
7,投影设备类,投影仪、幕布、音响,"2026-05-04 23:09:09","2026-05-04 23:09:09"
8,测量仪器类,电子天平、温湿度计、噪声仪,"2026-05-04 23:09:09","2026-05-04 23:09:09"
9,通信设备类,频谱仪、网络分析仪,"2026-05-04 23:09:09","2026-05-04 23:09:09"
10,实验平台类,开发板、实验箱、套件,"2026-05-04 23:09:09","2026-05-04 23:09:09"
11,存储设备类,硬盘、U盘、NAS,"2026-05-04 23:09:09","2026-05-04 23:09:09"
12,外设类,键盘、鼠标、显示器,"2026-05-04 23:09:09","2026-05-04 23:09:09"
