"id","title","content","publish_user_id","publish_time","status"
1,实验室开放时间调整通知,各位师生：从5月1日起，实验室开放时间调整为周一至周五 8:00-22:00，周末 9:00-18:00。请相互转告。,1,"2025-04-30 09:00:00",1
2,新设备采购到位通知,C栋405实验室新到一批数字示波器和信号发生器，欢迎各位同学预约使用。,2,"2025-04-28 14:30:00",1
3,设备维护保养公告,本周末（5月10日-11日）将对A栋、B栋实验室设备进行例行维护，届时部分设备暂停使用。,1,"2025-05-05 10:00:00",1
4,五一假期值班安排,五一假期期间（5月1日-5月5日），实验室管理中心安排值班，电话：0731-12345678。,2,"2025-04-25 16:00:00",1
5,实验室安全培训通知,定于5月20日下午2点在A栋101教室举办实验室安全培训，请全体实验员参加。,1,"2025-05-08 11:00:00",1
6,设备借用规范提醒,请各位师生借用设备后按时归还，逾期将影响后续借用权限。爱护设备，人人有责。,1,"2025-04-20 09:30:00",1
7,服务器维护通知,实验室管理系统服务器将于5月25日凌晨2:00-6:00进行升级维护，届时系统暂停使用。,2,"2025-05-15 15:00:00",1
8,期末实验室使用须知,期末临近，实验室使用高峰期，请同学们提前预约，合理使用设备。,1,"2025-05-18 10:00:00",1
9,示波器使用培训通知,本周四下午3点在C栋405举办示波器使用培训，欢迎报名参加。,2,"2025-05-10 08:00:00",1
10,设备报废公示,以下设备因年限过长已报废：DEV2023001（旧款投影仪）、DEV2023005（故障服务器）。,1,"2025-04-15 14:00:00",1
11,暑期实验室开放安排,暑期期间实验室正常开放，开放时间调整为周一至周五 9:00-17:00。,2,"2025-05-20 09:00:00",1
12,新系统功能介绍,实验室设备管理系统新增预约功能和逾期提醒功能，欢迎体验。,1,"2025-05-01 10:00:00",1
13,紧急设备故障通知,C栋406实验室信号发生器故障，已联系维修，恢复时间另行通知。,2,"2025-05-12 11:30:00",1
14,设备借用大数据分析报告,"2025年第一季度设备借用统计报告已发布，请在公告栏查看详情。",1,"2025-04-10 16:00:00",1
15,实验室卫生检查通知,下周一将进行实验室卫生检查，请各实验室做好清洁工作。,2,"2025-05-19 08:00:00",1
16,设备二维码上线通知,实验室设备已张贴二维码，扫描即可查看设备信息并申请借用。,1,"2025-05-05 14:00:00",1
17,实验课程调整通知,因教师出差，本周五下午的电子实验课暂停一次。,2,"2025-05-16 09:00:00",1
18,设备借用排行榜,本月设备借用排行榜：示波器、万用表、笔记本电脑位列前三。,1,"2025-05-25 15:00:00",1
19,实验室搬迁通知,B栋实验室将于6月1日起搬迁至新楼，暂停使用两周。,2,"2025-05-21 10:00:00",1
20,设备认领通知,实验室发现遗留U盘、笔记本等物品，请失主于一楼值班室认领。,1,"2025-05-14 09:00:00",1
21,教师借用绿色通道,教师教学急需借用设备，可联系实验员优先处理。,2,"2025-05-07 11:00:00",1
22,实验室夜间开放试点,A栋101、102实验室即日起试行24小时开放，需刷卡进入。,1,"2025-05-22 16:00:00",1
23,设备捐赠感谢信,感谢XX公司向本实验室捐赠10台示波器。,2,"2025-04-18 10:00:00",1
24,学生助理招聘,实验室管理中心招聘学生助理5名，有意者请提交简历。,1,"2025-05-09 08:30:00",1
25,实验安全知识竞赛,实验室安全知识竞赛将于6月10日举行，欢迎报名参加。,2,"2025-05-23 14:00:00",1
26,设备操作视频上线,常用设备操作教学视频已上传至系统，可在线观看。,1,"2025-05-17 09:00:00",1
27,实验室意见征集,为提升服务质量，现面向师生征集实验室管理意见。,2,"2025-05-06 15:00:00",1
28,端午节放假通知,端午节期间实验室闭馆一天，请提前做好设备归还。,1,"2025-05-24 10:00:00",0
29,设备借用须知(长期),借用设备请爱惜使用，损坏需按规定赔偿。,1,"2025-04-01 09:00:00",1
30,实验室数据备份提醒,请各位同学及时备份实验数据，实验室电脑将于月底格式化。,2,"2025-05-26 14:00:00",1
31,虚拟仿真平台上线,虚拟仿真实验平台已上线，支持远程实验教学。,1,"2025-05-11 10:00:00",1
32,实验室开放日,"6月1日将举办实验室开放日活动，欢迎参观体验。",2,"2025-05-27 09:00:00",1
33,设备价格公示,实验室设备价格及赔偿标准已公示，请在一楼公告栏查看。,1,"2025-05-13 16:00:00",1
34,期末设备归还通知,请于6月30日前归还所有借用的设备，逾期将按天计费。,2,"2025-05-28 08:00:00",1
35,祝毕业生前程似锦,祝2025届毕业生前程似锦，感谢你们的陪伴！,1,"2025-05-29 12:00:00",1
